Job Title,Company,Location
"Senior Software Engineer, Applied AI","Front How teams delight their customers, engage their teams, and build stronger businesses ", United States
Senior AI Researcher,Leonardo.Ai Leonardo is a Generative AI content production suite., Worldwide
Machine Learning Engineer Intern,Quora A place to share knowledge and better understand the world., Canada
"Data Science Co-op, July 2025",Jellyfish Change is easier with the right tools â€” navigate your engineering teams through it with Jellyfish, United States
Senior Data Engineer,Bluesight The Medication Intelligence Company, United States
Data Scientist,"Big Time We are Big Time Studios, a new game company dedicated to crafting online adventures through space and time.", Worldwide
Senior AI Research Engineer,Leonardo.Ai Leonardo is a Generative AI content production suite., Australia
AI Researcher,Leonardo.Ai Leonardo is a Generative AI content production suite., Australia
"Senior Data Scientist, ML and Algorithms",AllTrails AllTrails is your guide to the outdoors! Explore 200k trail guides with reviews & photos from 30M+ outdoor enthusiasts., United States
Senior Data Scientist,Sonatype Develop software fearlessly., United States
"Senior Data Scientist, ML and Algorithms",AllTrails AllTrails is your guide to the outdoors! Explore 200k trail guides with reviews & photos from 30M+ outdoor enthusiasts., United States
"Manager, Data Engineering",FreshBooks #1 accounting software in the cloud for self-employed professionals and their teams., Europe
"Data Scientist, Product Analytics","Atlassian Tools for teams, from startup to enterprise: Atlassian provides tools to help every team unleash their full potential.", United States
Data Analytics Engineer,"Mattermost Award-winning open source, private cloud Slack-alternative.", Various Countries
Data Scientist,Headspace Your guide to health and happiness. Learn to meditate and live mindfully., Various US States
"Senior Data Scientist, Finance","Shopify Sell online, in-store, and everywhere in between.", Americas
Senior Machine Learning Engineer,Twilio Changing communications forever by empowering software people to build the future of our modern communications apps., United States
Director of Data,Loom A new kind of work communication tool that helps you get your message across through instantly shareable video., Worldwide
Data Analyst,Amazon Earth's most customer-centric company., Anywhere in US
Site Reliability Engineer,Medium We want to be the best place to read and write on the internet., Anywhere in US
